,id,new_spec,hydrogen,nitrogen,ammonia,iron,water,nickel,cobalt,magnesium silicate,iron silicate,aluminum,nickel-iron,platinum
267,bK11E04S,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
268,bK11E04X,Q,,,,,,,,,,,13.315,
269,bK11E41E,Sq,,,,,,,,1e-30,0,,,
270,bK11F09S,S,,,,,,,,1e-30,0,,,
271,bK11F29Q,V,,,,,,,,1e-30,0,,,
272,bK11G59R,S,,,,,,,,1e-30,0,,,
273,bK11G60D,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
274,bK11H05N,Sq,,,,,,,,1e-30,0,,,
275,bK11H05O,Xk,,,,88,,10,0.5,,,,,
276,bK11H24O,Sk,,,,,,,,1e-30,0,,,
277,bK11H24P,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
278,bK11L02Z,V,,,,,,,,1e-30,0,,,
279,bK11M01W,Sk,,,,,,,,1e-30,0,,,
280,bK11M03Q,X,,,,88,,10,0.5,,,,,
281,bK11O57B,X,,,,88,,10,0.5,,,,,
282,bK11SI9H,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
283,bK11U10K,Sl,,,,,,,,1e-30,0,,,
284,bK11U63P,Sk,,,,,,,,1e-30,0,,,
285,bK11U63V,Q,,,,,,,,,,,13.315,
286,bK11UR5X,X,,,,88,,10,0.5,,,,,
287,bK11UT2C,O,,,,,,,,,,,2.965,1.25
288,bK11W02U,X,,,,88,,10,0.5,,,,,
289,bK11Y10P,S,,,,,,,,1e-30,0,,,
290,bK11Y62T,S,,,,,,,,1e-30,0,,,
291,bK11Y74U,S,,,,,,,,1e-30,0,,,
292,bK12B01N,Xc,,,,88,,10,0.5,,,,,0.005
293,bK12B13V,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
294,bK12B14B,Q,,,,,,,,,,,13.315,
295,bK12B35A,Sq,,,,,,,,1e-30,0,,,
296,bK12C46P,Xc,,,,88,,10,0.5,,,,,0.005
297,bK12D04K,Q,,,,,,,,,,,13.315,
298,bK12D30S,S,,,,,,,,1e-30,0,,,
299,bK12D32Y,S,,,,,,,,1e-30,0,,,
300,bK12D60T,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
301,bK12E00C,U,,,,,,,,,,,,
302,bK12F23V,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
303,bK12F35X,S,,,,,,,,1e-30,0,,,
304,bK12G05A,Sr,,,,,,,,1e-30,0,,,
