,id,new_spec,hydrogen,nitrogen,ammonia,iron,water,nickel,cobalt,magnesium silicate,iron silicate,aluminum,nickel-iron,platinum
584,bK17S19V,Sk,,,,,,,,1e-30,0,,,
585,bK17S20B,Sr,,,,,,,,1e-30,0,,,
586,bK17S21O,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
587,bK17U04Y,X,,,,88,,10,0.5,,,,,
588,bK17U05D,S,,,,,,,,1e-30,0,,,
589,bK17U05J,X,,,,88,,10,0.5,,,,,
590,bK17U07N,S,,,,,,,,1e-30,0,,,
591,bK17V01G,Sq,,,,,,,,1e-30,0,,,
592,bK17V13V,Sq,,,,,,,,1e-30,0,,,
593,bK17W13X,S,,,,,,,,1e-30,0,,,
594,bK17W14Z,Sq,,,,,,,,1e-30,0,,,
595,bK17W16J,Sq,,,,,,,,1e-30,0,,,
596,bK17W16O,Sq,,,,,,,,1e-30,0,,,
597,bK17X02S,S,,,,,,,,1e-30,0,,,
598,bK17X61N,Sk,,,,,,,,1e-30,0,,,
599,bK17X61R,Sq,,,,,,,,1e-30,0,,,
600,bK17X62C,Sq,,,,,,,,1e-30,0,,,
601,bK17Y01C,V,,,,,,,,1e-30,0,,,
602,bK17Y02C,Sq,,,,,,,,1e-30,0,,,
603,bK18A03F,V,,,,,,,,1e-30,0,,,
604,bK18A03G,Sq,,,,,,,,1e-30,0,,,
605,bK18A03L,S,,,,,,,,1e-30,0,,,
606,bK18A04B,Sq,,,,,,,,1e-30,0,,,
607,bK18A11W,V,,,,,,,,1e-30,0,,,
608,bK18B05G,Sa,,,,,,,,5e-31,0,,,
609,bK18B06Y,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
610,bK18C00Y,Sq,,,,,,,,1e-30,0,,,
611,bK18C02S,Sq,,,,,,,,1e-30,0,,,
612,bK18C03Q,Sq,,,,,,,,1e-30,0,,,
613,bK18D00C,Sq,,,,,,,,1e-30,0,,,
614,bK18D01B,S,,,,,,,,1e-30,0,,,
615,bK18D01E,Sl,,,,,,,,1e-30,0,,,
616,bK18D01X,X,,,,88,,10,0.5,,,,,
617,bK18D03Y,Sq,,,,,,,,1e-30,0,,,
618,bK18E01R,Sl,,,,,,,,1e-30,0,,,
619,bK18E04L,Sl,,,,,,,,1e-30,0,,,
620,bK18E04M,Sq,,,,,,,,1e-30,0,,,
621,bK18F02B,Sq,,,,,,,,1e-30,0,,,
622,bK18F03O,Sq,,,,,,,,1e-30,0,,,
623,bK18F03V,S,,,,,,,,1e-30,0,,,
624,bK18G04F,S,,,,,,,,1e-30,0,,,
625,bK18G04S,Sr,,,,,,,,1e-30,0,,,
626,bK18H01W,Sk,,,,,,,,1e-30,0,,,
627,bK18J01O,Sl,,,,,,,,1e-30,0,,,
628,bK18J02K,Sr,,,,,,,,1e-30,0,,,
629,bK18K01D,Sq,,,,,,,,1e-30,0,,,
630,bK18K01P,Sq,,,,,,,,1e-30,0,,,
631,bK18K02C,Sq,,,,,,,,1e-30,0,,,
632,bK18L00B,S,,,,,,,,1e-30,0,,,
633,bK18L00C,V,,,,,,,,1e-30,0,,,
634,bK18L00M,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
635,bK18L01C,Sq,,,,,,,,1e-30,0,,,
636,bK18L02M,S,,,,,,,,1e-30,0,,,
637,bK18L02Q,Sk,,,,,,,,1e-30,0,,,
638,bK18L03O,Sq,,,,,,,,1e-30,0,,,
639,bK18L05Q,Sa,,,,,,,,5e-31,0,,,
640,bK18M05Q,X,,,,88,,10,0.5,,,,,
641,bK18M07D,Q,,,,,,,,,,,13.315,
642,bK18N00E,S,,,,,,,,1e-30,0,,,
643,bK18N00V,S,,,,,,,,1e-30,0,,,
644,bK18N01Q,Sq,,,,,,,,1e-30,0,,,
