,Unnamed: 0,id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT,Object,Orbit ID,H (mag),Estimated Diameter (m),OCC,"Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)",Viable Trajectories,Next Optical Opportunity (yyyy-mm [Vp]),Next Goldstone Radar Opportunity (yyyy-mm [SNR]),spec_B_clean,new_spec,diameter_clean,est_volume,est_density,est_mass,est_mass_th_tonnes
354,354,bK13Y02M,3655395,       (2013 YM2),2013 YM2,,,Y,N,26.2,,,,,,,,,,,,,,,,,,,6,2458600.5,58600.0,20190427.0,J2000,0.1564373668752893,0.882213149604672,0.7442020474577614,3.198399127646569,91.3805695739316,161.811146711556,355.4621264187955,1.020224251751582,1.18944340800382,2458604.31512357,20190430.8151236,302.6625710626864,0.828644958419402,0.0160667,6.252677639,3.98705,6.71,0.00020003,0.00041541,0.00052688,0.041383,0.19689,0.037114,0.31816,0.00048039,0.00084011,0.27018,0.21377,ATE,Otto Matic,11.0,2013-12-24,2014-01-04,37.0,,,7.0,0.3322,,,,,,(2013 YM2),10,25.7,13 - 56,1,"6.607, 202","9.886, 98",208478,2037-10 [22.0],2043-01 [60],nan,Sq,34.5,21500.863771627693,2.71,10177472.898519458,10.177472898519458
355,355,bK13Y02R,3655398,       (2013 YR2),2013 YR2,,,Y,N,24.2,,,,,,,,,,,,,,,,,,,9,2458600.5,58600.0,20190427.0,J2000,0.2342571398943473,1.24846637037278,0.9560042091949752,4.1516241721525,97.499601731724,66.07072605459744,247.1119562682946,1.540928531550584,0.7065433307916041,2458760.2751175505,20191003.7751176,509.5228902616058,1.39499764616456,0.0356429,13.871147393,3.43661,5.118,0.00011442,0.00016331,1.7801e-05,0.0021599,0.0019231,0.0038881,0.26342,0.00020157,0.00013863,0.40418,0.099974,APO,Otto Matic,146.0,2013-12-25,2014-05-20,29.0,,,6.0,0.54967,,,,,,(2013 YR2),10,24.2,25 - 112,6,"8.764, 354","9.962, 194",21290,? 2021-05 [22.2] ?,none,nan,R,68.5,168294.66030387656,2.71,75696171.62393251,75.69617162393251
356,356,bK14A05G,3655742,       (2014 AG5),2014 AG5,,,Y,N,22.5,,,,,,,,,,,,,,,,,,,7,2458600.5,58600.0,20190427.0,J2000,0.0338626958597232,1.134492580280705,1.096075603079546,9.334265855319302,101.8990440107946,267.8419498243175,227.8320449779539,1.172909557481863,0.8156457621406357,2458762.5408774945,20191006.0408775,441.3680751006316,1.20839993182924,0.112152,43.64619384,3.87354,5.507,0.00022047,0.00056786,0.00035825,0.036071,0.012451,0.12003,1.2479,0.00058709,0.0006124,1.6513,0.33138,AMO,Otto Matic,8.0,2014-01-02,2014-01-10,35.0,,,7.0,0.25064,,,,,,(2014 AG5),13,22.6,53 - 235,1,"8.917, 354","9.921, 338",25691,2025-01 [20.1],none,nan,S,144.0,1563457.5663561106,2.71,705696390.8051856,705.6963908051855
357,357,bK14B32T,3656994,       (2014 BT32),2014 BT32,,,Y,N,25.0,,,,,,,,,,,,,,,,,,,JPL 4,2456682.5,56682.0,20140125.0,J2000,0.1416857993775593,1.121897394665476,0.9629404654826972,8.588998726812617,117.7234067721996,267.4122316536229,82.01706734032257,1.280854323848255,0.829419735068182,2456583.6151243784,20131018.1151244,434.0383822316531,1.18833232643848,0.0560157,21.799629969,3.99282,5.547,0.0044249,0.0028873,0.0039316,0.16521,0.016629,0.24337,0.36788,0.0032964,0.0032019,0.20817,1.6756,APO,Otto Matic,4.0,2014-01-23,2014-01-27,12.0,,,8.0,0.37409,,,,,,(2014 BT32),5,25.0,17 - 78,8,"7.367, 354","9.960, 202",29619,? 2032-05 [22.9] ?,none,nan,Sl,47.5,56115.06252857393,2.71,25038207.721449994,25.038207721449993
358,358,bK14C13H,3661496,       (2014 CH13),2014 CH13,,,Y,N,24.4,,,,,,,,,,,,,,,,,,,JPL 4,2456699.5,56699.0,20140211.0,J2000,0.1485742299915037,1.138875157095457,0.9696676575735468,3.625432362099811,111.0931901300729,115.1830600531645,292.215375086697,1.308082656617367,0.8109421881330977,2456783.0874935417,20140505.5874935,443.9280694333715,1.21540881432819,0.0148476,5.778240492,3.66183,5.492,0.012735,0.0071752,0.0086033,0.099595,1.1738,1.4879,1.0863,0.0082413,0.0076637,0.60155,4.1953,APO,Otto Matic,1.0,2014-02-10,2014-02-11,16.0,,,9.0,0.45928,,,,,,(2014 CH13),5,24.4,23 - 103,9,"7.713, 186","9.945, 114",160638,? 2025-09 [23.1] ?,none,nan,S,63.0,130924.30304202782,2.71,59362863.21506153,59.36286321506153
359,359,bK14C13S,3661508,       (2014 CS13),2014 CS13,,,Y,N,24.0,,,,,,,,,,,,,,,,,,,15,2458600.5,58600.0,20190427.0,J2000,0.3269300630661985,1.255225295459475,0.8448544104526214,0.6128244603233024,58.56305591482108,14.40195224718364,290.9441232879838,1.665596180466329,0.700844307111501,2458699.032407285,20190803.5324073,513.6661543042622,1.40634128488504,0.00872402,3.3951268634,3.60845,5.074,0.00029425,0.0003771,0.00011554,0.00054459,0.016975,0.013601,0.62555,0.00050039,0.00031583,0.93697,0.23148,APO,Otto Matic,28.0,2014-02-11,2014-03-11,113.0,,,7.0,0.36529,,,,,,(2014 CS13),16,24.0,28 - 123,7,"9.197, 338","9.995, 282",19451,? 2030-08 [23.4] ?,none,nan,Sq,75.5,225340.6160056173,2.71,101676147.29775314,101.67614729775313
360,360,bK14D00Q,3662228,       (2014 DQ),2014 DQ,,,Y,N,24.7,,,,,,,,,,,,,,,,,,,11,2458600.5,58600.0,20190427.0,J2000,0.2369304668039669,1.198799877824068,0.9147676631666728,3.891989116190012,145.0462499549581,296.8394865593026,23.44094804394846,1.482832092481462,0.7509033448675213,2458569.283002228,20190326.7830022,479.4225547943367,1.31258741901256,0.0127513,4.962423421,3.71968,5.271,0.0003815,0.00044194,0.00012024,0.0043482,0.050257,0.061383,0.95018,0.00054665,0.00041523,1.2481,0.26511,APO,Otto Matic,15.0,2014-02-20,2014-03-07,36.0,,,7.0,0.52383,,,,,,(2014 DQ),12,24.7,20 - 89,7,"8.102, 338","9.984, 234",39926,? 2034-07 [23.2] ?,none,nan,S,54.5,84759.44984553616,2.71,38722581.67456718,38.722581674567174
361,361,bK14D23F,3662634,       (2014 DF23),2014 DF23,,,Y,N,24.6,,,,,,,,,,,,,,,,,,,8,2458600.5,58600.0,20190427.0,J2000,0.2045692084293196,0.9111762927501064,0.7247776798026552,7.360351523444942,334.8315106765223,314.6362073851055,217.9179365613906,1.097574905697558,1.133184058977251,2458725.8830410982,20190830.3830411,317.6889024761926,0.869784811707577,0.0167393,6.514433381,4.02389,6.523,0.0008673,0.00018622,0.00064214,0.0064521,0.049442,0.16875,0.13725,0.00022432,0.00034739,0.15955,0.097392,ATE,Otto Matic,12.0,2014-02-27,2014-03-11,42.0,,,7.0,0.42504,,,,,,(2014 DF23),9,24.6,21 - 94,6,"8.879, 354","9.984, 306",22142,? 2034-01 [21.1] ?,none,nan,A,57.5,99541.03597975784,2.71,45051347.109807245,45.051347109807246
362,362,bK14DB0V,3662879,       (2014 DV110),2014 DV110,,,Y,N,24.9,,,,,,,,,,,,,,,,,,,10,2458600.5,58600.0,20190427.0,J2000,0.2957126959120151,0.8296035543714954,0.5842792507701104,1.983009593273518,139.3497291187734,222.2698228019945,82.35262026285224,1.07492785797288,1.304362089378495,2458537.3636815394,20190222.8636815,275.9969819205137,0.755638554197163,0.00253639,0.9870868963,4.35776,7.035,0.00056475,2.1694e-06,0.00046699,0.0017153,0.07603,0.017111,0.72246,2.8109e-06,5.1162e-06,0.55413,0.0010826,ATE,Otto Matic,10.0,2014-02-28,2014-03-10,52.0,,,7.0,0.38852,,,,,,(2014 DV110),11,24.9,18 - 81,7,"9.538, 306","9.948, 266",14213,2045-02 [23.7],none,nan,Sq,49.5,63505.921045531715,2.71,28672883.131846257,28.672883131846255
363,363,bK14DB2D,3662960,       (2014 DD112),2014 DD112,,,Y,N,23.7,,,,,,,,,,,,,,,,,,,12,2458600.5,58600.0,20190427.0,J2000,0.1663893815694889,1.264264844829579,1.053904599158339,5.837169038326708,157.6163480009463,302.7968029056332,272.581622751188,1.474625090500818,0.6933411576397612,2458726.582775104,20190831.0827751,519.2249097478863,1.42156032785184,0.100694,39.18708398,3.63204,5.083,3.369e-05,6.2692e-05,1.0421e-05,0.0011756,0.00077419,0.0011159,0.099693,7.3123e-05,5.1571e-05,0.15316,0.038621,AMO,Otto Matic,37.0,2014-02-26,2014-04-04,33.0,,,6.0,0.49846,,,,,,(2014 DD112),13,23.7,32 - 142,6,"9.636, 354","9.969, 338",13183,2024-02 [23.2],none,nan,O,87.0,344791.3645278066,1.38,79570915.18037865,79.57091518037865
