,id,new_spec,est_mass,hydrogen_kg,nitrogen_kg,ammonia_kg,iron_kg,water_kg,nickel_kg,cobalt_kg,magnesium silicate_kg,iron silicate_kg,aluminum_kg,nickel-iron_kg,platinum_kg
95,bK03L00H,Cb,10150114.939151997,2385277.010700719,10150.114939151998,10150.114939151998,842459.5399496157,1015011.4939151998,71050.80457406398,10150.114939151998,0.0,0.0,0.0,0.0,0.0
96,bK03L06N,K,22740165.274531957,5343938.83951501,22740.16527453196,22740.16527453196,1887433.7177861526,2274016.527453196,159181.1569217237,22740.16527453196,0.0,0.0,0.0,0.0,0.0
97,bK03R11U,Cb,6308155.080181887,1482416.4438427435,6308.155080181888,6308.155080181888,523576.8716550967,630815.5080181888,44157.08556127321,6308.155080181888,0.0,0.0,0.0,0.0,0.0
98,bK03S84M,C,309312651.1585825,72688473.02226688,309312.65115858254,309312.65115858254,51345900.0923247,61862530.231716506,4330377.116220155,618625.3023171651,0.0,0.0,0.0,0.0,0.0
99,bK03W00E,S,45332071.82172643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.533207182172643e-23,0.0,0.0,0.0,0.0
100,bK04A00D,Sq,59163500.10375138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.916350010375139e-23,0.0,0.0,0.0,0.0
101,bK04B01Y,S,50960352.499008186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.096035249900819e-23,0.0,0.0,0.0,0.0
102,bK04B11H,K,45039088.1243185,10584185.709214848,45039.08812431851,45039.08812431851,3738244.3143184357,4503908.8124318505,315273.61687022954,45039.08812431851,0.0,0.0,0.0,0.0,0.0
103,bK04B18V,Sq,7055107.93412787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05510793412787e-24,0.0,0.0,0.0,0.0
104,bK04E20O,Sr,806329111.9394153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.063291119394154e-22,0.0,0.0,0.0,0.0
105,bK04E21R,S,59032564.66712926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.903256466712926e-23,0.0,0.0,0.0,0.0
106,bK04E22U,Xc,305486888.7074113,0.0,0.0,0.0,26882846206.252193,0.0,3054868887.074113,152743444.35370564,0.0,0.0,0.0,0.0,1527434.4435370564
107,bK04F00H,Sr,9855508.483549047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.855508483549048e-24,0.0,0.0,0.0,0.0
108,bK04H01Q,Xk,696626683.8675222,0.0,0.0,0.0,61303148180.34196,0.0,6966266838.675222,348313341.9337611,0.0,0.0,0.0,0.0,0.0
109,bK04J01N,L,155840876.49215764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5584087649215764e-22,0.0,1090886135.4451034,0.0,0.0
110,bK04O10W,S,50711718.248129435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.071171824812944e-23,0.0,0.0,0.0,0.0
111,bK04S00R,Sq,132740371.91633755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3274037191633757e-22,0.0,0.0,0.0,0.0
