,id,new_spec,hydrogen,nitrogen,ammonia,iron,water,nickel,cobalt,magnesium silicate,iron silicate,aluminum,nickel-iron,platinum
0,a0003361,Sr,,,,,,,,1e-30,0,,,
1,a0025143,S,,,,,,,,1e-30,0,,,
2,a0089136,Sr,,,,,,,,1e-30,0,,,
3,a0099942,Sq,,,,,,,,1e-30,0,,,
4,a0101955,B,0.235,0.001,0.001,10,,,,,,,,
5,a0138404,O,,,,,,,,,,,2.965,1.25
6,a0141424,S,,,,,,,,1e-30,0,,,
7,a0162173,Cg,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
8,a0163899,R,,,,,,,,1e-30,0,,,
9,a0207945,S,,,,,,,,1e-30,0,,,
10,a0208023,S,,,,,,,,1e-30,0,,,
11,a0216985,S,,,,,,,,1e-30,0,,,
12,a0225312,S,,,,,,,,1e-30,0,,,
13,a0228502,Cb,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
14,a0251732,S,,,,,,,,1e-30,0,,,
15,a0292220,Sk,,,,,,,,1e-30,0,,,
16,a0309214,S,,,,,,,,1e-30,0,,,
17,a0326354,S,,,,,,,,1e-30,0,,,
18,a0329437,S,,,,,,,,1e-30,0,,,
19,a0341843,X,,,,88,,10,0.5,,,,,
20,a0350462,S,,,,,,,,1e-30,0,,,
21,a0350523,B,0.235,0.001,0.001,10,,,,,,,,
22,a0350751,V,,,,,,,,1e-30,0,,,
23,a0354182,Sq,,,,,,,,1e-30,0,,,
24,a0363305,X,,,,88,,10,0.5,,,,,
25,a0367943,O,,,,,,,,,,,2.965,1.25
26,a0382875,Xk,,,,88,,10,0.5,,,,,
27,a0416186,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
28,a0417419,S,,,,,,,,1e-30,0,,,
29,a0424482,S,,,,,,,,1e-30,0,,,
30,a0429389,Sq,,,,,,,,1e-30,0,,,
31,a0433303,S,,,,,,,,1e-30,0,,,
32,a0433953,Sr,,,,,,,,1e-30,0,,,
33,a0443104,Sq,,,,,,,,1e-30,0,,,
34,a0450237,Xk,,,,88,,10,0.5,,,,,
35,a0451157,X,,,,88,,10,0.5,,,,,
36,a0451370,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
37,a0452807,S,,,,,,,,1e-30,0,,,
38,a0455415,L,,,,,,,,1e-30,0,7,,
39,a0459200,Sq,,,,,,,,1e-30,0,,,
40,a0459872,Sq,,,,,,,,1e-30,0,,,
41,a0469219,Sq,,,,,,,,1e-30,0,,,
42,a0471240,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
43,a0471984,S,,,,,,,,1e-30,0,,,
44,a0474158,S,,,,,,,,1e-30,0,,,
45,a0474163,X,,,,88,,10,0.5,,,,,
46,a0478784,Sq,,,,,,,,1e-30,0,,,
47,a0488615,Sq,,,,,,,,1e-30,0,,,
48,a0490581,Sq,,,,,,,,1e-30,0,,,
49,a0499998,Sr,,,,,,,,1e-30,0,,,
50,a0508908,S,,,,,,,,1e-30,0,,,
51,a0510529,Sl,,,,,,,,1e-30,0,,,
52,a0518810,X,,,,88,,10,0.5,,,,,
53,bJ92J00D,Sq,,,,,,,,1e-30,0,,,
54,bJ93K00A,Xk,,,,88,,10,0.5,,,,,
55,bJ97U00R,V,,,,,,,,1e-30,0,,,
56,bJ97Y09M,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
57,bJ98K26Y,S,,,,,,,,1e-30,0,,,
58,bJ99A10O,S,,,,,,,,1e-30,0,,,
59,bJ99C09G,Sq,,,,,,,,1e-30,0,,,
60,bJ99N02W,D,,,,,2.3e-05,,,,,,,
61,bJ99R32A,Sk,,,,,,,,1e-30,0,,,
62,bJ99S10F,S,,,,,,,,1e-30,0,,,
63,bJ99S10H,R,,,,,,,,1e-30,0,,,
64,bJ99V25W,L,,,,,,,,1e-30,0,7,,
65,bK00A06G,S,,,,,,,,1e-30,0,,,
66,bK00AK5E,S,,,,,,,,1e-30,0,,,
67,bK00SY4G,Sq,,,,,,,,1e-30,0,,,
68,bK00U11K,Sq,,,,,,,,1e-30,0,,,
69,bK00W10G,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
70,bK00YD4S,Xc,,,,88,,10,0.5,,,,,0.005
71,bK01A43V,S,,,,,,,,1e-30,0,,,
72,bK01B16A,Sk,,,,,,,,1e-30,0,,,
73,bK01B16B,Xc,,,,88,,10,0.5,,,,,0.005
74,bK01C36Q,Q,,,,,,,,,,,13.315,
75,bK01F85R,S,,,,,,,,1e-30,0,,,
76,bK01K18W,S,,,,,,,,1e-30,0,,,
77,bK01K20M,Sq,,,,,,,,1e-30,0,,,
78,bK01Q34C,S,,,,,,,,1e-30,0,,,
79,bK01Q71E,S,,,,,,,,1e-30,0,,,
80,bK01QE2J,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
81,bK01T00D,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
82,bK01V02E,S,,,,,,,,1e-30,0,,,
83,bK02A31L,X,,,,88,,10,0.5,,,,,
84,bK02B25F,S,,,,,,,,1e-30,0,,,
85,bK02G00R,Sk,,,,,,,,1e-30,0,,,
86,bK02JA0R,S,,,,,,,,1e-30,0,,,
87,bK02L00W,S,,,,,,,,1e-30,0,,,
88,bK02T66Z,Xk,,,,88,,10,0.5,,,,,
89,bK02T69S,S,,,,,,,,1e-30,0,,,
90,bK02V91X,Sq,,,,,,,,1e-30,0,,,
91,bK02VB4U,Sq,,,,,,,,1e-30,0,,,
92,bK03C04A,X,,,,88,,10,0.5,,,,,
93,bK03E16Z,Sq,,,,,,,,1e-30,0,,,
94,bK03H42T,Sq,,,,,,,,1e-30,0,,,
95,bK03L00H,Cb,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
96,bK03L06N,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
97,bK03R11U,Cb,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
98,bK03S84M,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
99,bK03W00E,S,,,,,,,,1e-30,0,,,
100,bK04A00D,Sq,,,,,,,,1e-30,0,,,
101,bK04B01Y,S,,,,,,,,1e-30,0,,,
102,bK04B11H,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
103,bK04B18V,Sq,,,,,,,,1e-30,0,,,
104,bK04E20O,Sr,,,,,,,,1e-30,0,,,
105,bK04E21R,S,,,,,,,,1e-30,0,,,
106,bK04E22U,Xc,,,,88,,10,0.5,,,,,0.005
107,bK04F00H,Sr,,,,,,,,1e-30,0,,,
108,bK04H01Q,Xk,,,,88,,10,0.5,,,,,
109,bK04J01N,L,,,,,,,,1e-30,0,7,,
110,bK04O10W,S,,,,,,,,1e-30,0,,,
111,bK04S00R,Sq,,,,,,,,1e-30,0,,,
112,bK04V01J,Sq,,,,,,,,1e-30,0,,,
113,bK04W01H,Sq,,,,,,,,1e-30,0,,,
114,bK04X00G,D,,,,,2.3e-05,,,,,,,
115,bK04X03K,S,,,,,,,,1e-30,0,,,
116,bK04X51D,Xk,,,,88,,10,0.5,,,,,
117,bK05B28G,X,,,,88,,10,0.5,,,,,
118,bK05E70R,S,,,,,,,,1e-30,0,,,
119,bK05E94H,T,,,,6,,,,,,,,
120,bK05E95R,S,,,,,,,,1e-30,0,,,
121,bK05F00G,B,0.235,0.001,0.001,10,,,,,,,,
122,bK05F00J,Sl,,,,,,,,1e-30,0,,,
123,bK05H04B,S,,,,,,,,1e-30,0,,,
124,bK05K00A,V,,,,,,,,1e-30,0,,,
125,bK05O03H,X,,,,88,,10,0.5,,,,,
126,bK05R03K,Sk,,,,,,,,1e-30,0,,,
127,bK05T45F,Sq,,,,,,,,1e-30,0,,,
128,bK05T50G,S,,,,,,,,1e-30,0,,,
129,bK05U05G,Sq,,,,,,,,1e-30,0,,,
130,bK05W00A,Ld,,,,,,,,1e-30,0,,,
131,bK05Y01Y,S,,,,,,,,1e-30,0,,,
132,bK05Y37A,Q,,,,,,,,,,,13.315,
133,bK06B07X,S,,,,,,,,1e-30,0,,,
134,bK06B55J,X,,,,88,,10,0.5,,,,,
135,bK06BE7Z,Sa,,,,,,,,5e-31,0,,,
136,bK06C00K,Q,,,,,,,,,,,13.315,
137,bK06C00T,U,,,,,,,,,,,,
138,bK06C09L,Sq,,,,,,,,1e-30,0,,,
139,bK06D00X,Q,,,,,,,,,,,13.315,
140,bK06F36H,Sk,,,,,,,,1e-30,0,,,
141,bK06G00B,T,,,,6,,,,,,,,
142,bK06G01B,S,,,,,,,,1e-30,0,,,
143,bK06H00C,Sl,,,,,,,,1e-30,0,,,
144,bK06H05Z,V,,,,,,,,1e-30,0,,,
145,bK06H50U,Sq,,,,,,,,1e-30,0,,,
146,bK06H50W,O,,,,,,,,,,,2.965,1.25
147,bK06Q89V,X,,,,88,,10,0.5,,,,,
148,bK06R01J,Sq,,,,,,,,1e-30,0,,,
149,bK06S05Y,K,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
150,bK06S19P,Sq,,,,,,,,1e-30,0,,,
151,bK06V13P,Q,,,,,,,,,,,13.315,
152,bK06W00B,A,,,,,,,,,,,,
153,bK06X00W,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
154,bK06X04P,V,,,,,,,,1e-30,0,,,
155,bK06X04W,V,,,,,,,,1e-30,0,,,
156,bK06Y00M,Sq,,,,,,,,1e-30,0,,,
157,bK06Y00P,S,,,,,,,,1e-30,0,,,
158,bK07A02A,V,,,,,,,,1e-30,0,,,
159,bK07C05S,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
160,bK07C26M,S,,,,,,,,1e-30,0,,,
161,bK07E00C,S,,,,,,,,1e-30,0,,,
162,bK07H00C,Sq,,,,,,,,1e-30,0,,,
163,bK07H04L,Sq,,,,,,,,1e-30,0,,,
164,bK07P09S,S,,,,,,,,1e-30,0,,,
165,bK07R08X,S,,,,,,,,1e-30,0,,,
166,bK07R12T,R,,,,,,,,1e-30,0,,,
167,bK07R17O,S,,,,,,,,1e-30,0,,,
168,bK07S06Q,S,,,,,,,,1e-30,0,,,
169,bK07T03H,V,,,,,,,,1e-30,0,,,
170,bK07T15F,X,,,,88,,10,0.5,,,,,
171,bK07T71E,Q,,,,,,,,,,,13.315,
172,bK07U01W,S,,,,,,,,1e-30,0,,,
173,bK07U01Y,V,,,,,,,,1e-30,0,,,
174,bK07U06P,Sq,,,,,,,,1e-30,0,,,
175,bK07V83V,X,,,,88,,10,0.5,,,,,
176,bK07W00A,S,,,,,,,,1e-30,0,,,
177,bK07Y00F,Sq,,,,,,,,1e-30,0,,,
178,bK07Y01J,C,0.235,0.001,0.001,0.166,0.2,0.014,0.002,,,,,
179,bK07Y56T,A,,,,,,,,,,,,
180,bK08A04G,S,,,,,,,,1e-30,0,,,
181,bK08B02T,Q,,,,,,,,,,,13.315,
182,bK08CB9K,V,,,,,,,,1e-30,0,,,
183,bK08D00B,S,,,,,,,,1e-30,0,,,
184,bK08E85J,Sq,,,,,,,,1e-30,0,,,
185,bK08F00O,Sq,,,,,,,,1e-30,0,,,
186,bK08F06X,S,,,,,,,,1e-30,0,,,
